filename,red,green,blue
sanfrancisco_1347085682_504af3848aef4203cb006ea6.jpg,168,38,84
sanfrancisco_1346701250_504515d38aef421c42001167.jpg,14,17,18
sanfrancisco_1346900972_504821fd8aef425c2600033e.jpg,7,5,28
berlin_1347092741_504b0f178aef4203cb008a29.jpg,91,21,59
sanfrancisco_1347000570_5049a70b8aef421ad000053b.jpg,242,237,231
sanfrancisco_1347141021_504bcbaf8aef42592c001832.jpg,183,188,214
berlin_1346933096_50489f7e8aef423798007bec.jpg,21,17,16
berlin_1346866250_50479a678aef422e49000488.jpg,232,248,243
sanfrancisco_1346906495_504837908aef4237980005cb.jpg,6,4,1
berlin_1346787542_504666e98aef4238b5002e11.jpg,10,9,39
sanfrancisco_1347161250_504c1ab38aef42212e005a62.jpg,45,33,39
sanfrancisco_1347212376_504ce26a8aef420432000007.jpg,44,11,33
sanfrancisco_1346983175_504963198aef4218380019c3.jpg,43,31,40
sanfrancisco_1347068356_504aafd68aef4203cb00124a.jpg,40,10,22
sanfrancisco_1346903849_50482d3b8aef425c2600127d.jpg,19,18,34
sanfrancisco_1346732334_50458f438aef4258e700b70c.jpg,32,34,41
potsdam_1346851296_504760018aef427142007195.jpg,15,15,18
sanfrancisco_1346718450_504559038aef4258e7005b6c.jpg,237,244,240
sanfrancisco_1347228637_504d21f08aef42562000000b.jpg,12,9,13
sanfrancisco_1346791423_504676148aef4238b5006a78.jpg,204,181,164
sanfrancisco_1347064111_504a9f408aef4270fc00157b.jpg,179,201,212
berlin_1347214050_504ce8f68aef42343d00023f.jpg,17,14,48
sanfrancisco_1347260409_504d9e0d8aef4262e400bc60.jpg,62,36,65
cupertino_1347234891_504d3a5c8aef4262e4003406.jpg,60,70,62
sanfrancisco_1347226083_504d17f58aef422bf4002f40.jpg,66,48,38
berlin_1346756441_5045ed6b8aef423916000f52.jpg,23,19,17
sanfrancisco_1346793056_50467c718aef4238b5008212.jpg,20,44,82
berlin_1346958946_504904798aef4266fe002717.jpg,30,11,17
menlopark_1346785652_50465f858aef4238b5001132.jpg,27,27,18
sanfrancisco_1347218002_504cf8688aef42643b000039.jpg,4,10,71
berlin_1346872790_5047b3ee8aef422e490042d8.jpg,223,208,179
sanfrancisco_1346866848_50479cb38aef422e49000a36.jpg,57,38,45
berlin_1347206873_504ccced8aef425887000418.jpg,247,243,229
sanfrancisco_1347149197_504beb9f8aef42212e000f34.jpg,13,10,11
sanfrancisco_1347131149_504ba5208aef422c43000005.jpg,6,5,6
sanfrancisco_1347158487_504c0fe98aef42212e004b0f.jpg,166,147,140
sanfrancisco_1347248879_504d71018aef4262e4009100.jpg,20,11,42
sanfrancisco_1347132431_504baa238aef42213f0000ad.jpg,174,167,158
menlopark_1347210421_504cdac78aef42016a000035.jpg,241,234,213
sanfrancisco_1346718927_50455ae08aef4258e7005f52.jpg,85,73,72
sanfrancisco_1346871754_5047afe38aef422e49003856.jpg,22,15,41
sanfrancisco_1346953719_5048f00d8aef423e900001fa.jpg,69,48,45
sanfrancisco_1347150070_504bef098aef42212e001530.jpg,26,30,36
sanfrancisco_1346967905_504927758aef421bc5000035.jpg,46,45,62
cupertino_1347238823_504d49b98aef4262e400507f.jpg,88,87,82
sanfrancisco_1346624099_5043e8758aef42021c005fa3.jpg,66,44,44
berlin_1347098788_504b26b68aef427730000f3c.jpg,24,23,25
berlin_1347103919_504b3ac08aef427730002847.jpg,46,21,45
sanfrancisco_1347148256_504be7f18aef42212e0008da.jpg,3,15,21
sanfrancisco_1346985674_50496dd98aef425ebc000033.jpg,17,17,21
sanfrancisco_1346642243_50442f578aef42021c00e024.jpg,4,5,31
sanfrancisco_1347130725_504ba37a8aef427703000066.jpg,10,10,31
sanfrancisco_1346805570_5046adcc8aef4238b5010ed4.jpg,21,16,5
sanfrancisco_1346693769_5044f89c8aef423eda001202.jpg,111,158,234
cupertino_1346993220_50498a558aef425ebc0026d0.jpg,36,5,24
sanfrancisco_1346907413_50483b278aef423798000974.jpg,20,12,13
berlin_1347224376_504d11498aef422bf4001c7c.jpg,33,33,32
sanfrancisco_1347247534_504d6bc18aef4262e4008a60.jpg,249,249,245
berlin_1347028588_504a147e8aef42781f00031b.jpg,225,206,180
sanfrancisco_1347239870_504d4dd18aef4262e40057e6.jpg,217,209,188
sanfrancisco_1347226953_504d1b5b8aef422bf40037b6.jpg,66,49,51
sanfrancisco_1347042243_504a49d68aef423571000573.jpg,39,25,21
sanfrancisco_1346617004_5043ccbe8aef42021c000bda.jpg,8,8,23
sanfrancisco_1346808427_5046bf5a8aef4238b501305b.jpg,150,150,150
sanfrancisco_1347146927_504be2c18aef42592c0044ea.jpg,40,33,40
sanfrancisco_1346787565_504667008aef4238b5002e7b.jpg,235,234,229
sanfrancisco_1346954278_5048f2378aef423e900007c6.jpg,157,83,64
sanfrancisco_1347169552_504c3b218aef42212e007b8d.jpg,208,175,219
sanfrancisco_1347063638_504a9d678aef4270fc0011fb.jpg,161,76,73
sanfrancisco_1346961762_50490f748aef4266fe0045ca.jpg,27,31,17
berlin_1346749077_5045d0a68aef4258e7011c7d.jpg,218,207,176
sanfrancisco_1346986652_504970af8aef425ebc000571.jpg,38,29,39
berlin_1346925439_504881938aef423798005026.jpg,158,165,156
berlin_1346954951_5048f4d98aef424d540000e1.jpg,5,3,2
sanfrancisco_1346713313_504544f38aef4258e7002845.jpg,9,7,9
sanfrancisco_1346790414_504672218aef4238b5005af1.jpg,223,206,173
berlin_1346750394_5045d5e48aef4258e7012732.jpg,28,21,27
sanfrancisco_1346984058_5049668e8aef421838002373.jpg,40,34,44
sanfrancisco_1347227900_504d1f0f8aef422bf40040ae.jpg,39,3,20
sanfrancisco_1347220485_504d02168aef427bdb001c01.jpg,39,5,18
sanfrancisco_1347172707_504c47758aef42212e0085d0.jpg,38,32,43
sanfrancisco_1347221003_504d041d8aef422f9b0000b7.jpg,43,16,29
berlin_1346870394_5047aa948aef422e49002b5b.jpg,31,10,33
sanfrancisco_1346737191_5045a23f8aef4258e700cfdd.jpg,33,26,38
sanfrancisco_1347249552_504d73a28aef4262e4009406.jpg,157,69,25
sanfrancisco_1346973199_50493c3b8aef4262f50008f5.jpg,45,40,38
berlin_1346692892_5044f5348aef423eda000583.jpg,17,13,20
berlin_1347217603_504cf6d48aef422845000238.jpg,14,9,8
